File ID,T1,T2,T3,T4,T5,T6
"low_1","['079597118', '096371032', '096528344', '096517004', '079570813', '096377269', '079768775', '079559597', '096534631', '079597531', '096373847', '079769800', '096377014', '096531373', '096546089', '096538534', '079573879', '096554119', '096543794', '079780518', '096364529', '096552103', '096373022', '079794094']","[('079778307', 10), ('096531373', 10), ('079790373', 8), ('096377269', 7), ('096513535', 7)]",True,2,10,36
"low_2","['079782624', '079600303', '079612350', '079776517', '072812829', '096554111', '079768583', '095582381', '072796785', '079626258', '073047886', '079624319', '096516892', '079571357', '096516312', '079602812', '079564085', '079560280']","[('072824538', 15), ('079626113', 13), ('096516312', 10), ('073047886', 9), ('079776038', 9)]",True,2,1,86
"low_3","['3F', '3M', '4F', '5M', '1M', '8M', '9F', '7M', '8F', '6M', '14F', '12M', '10M', '13F', '9M', '17F', '13M', '15M', '16M', '30F', '19M', '23M', '22M', '33F', '21M', '39F', '24M', '28M', '27M', '42F', '26M', '51F', '30M', '52F', '50F', '29M', '56F', '34M', '59F', '61F', '39M', '65F', '45M', '44M', '42M', '46M']","[('34M', 6), ('19M', 5), ('22M', 5), ('28M', 5), ('3F', 4)]",True,2,16,10
"low_4","['062060808', '062788026', '062326596', '062298895', '062277038', '062376035', '062780014', '062347528', '062320849', '053376881', '053372874', '062309359', '062772304', '062070364', '062120769', '053054108']","[('062060808', 11), ('062303861', 10), ('062295291', 9), ('062347528', 9), ('062326523', 9)]",True,2,10,69
"low_5","['056014070', '053079039', '053320305', '052774614']","[('053027282', 15), ('053066790', 13), ('052858299', 12), ('052620092', 11), ('053035777', 11)]",True,2,2,112
"low_6","['046872832', '043867886', '047030601']","[('043867886', 20), ('055554329', 19), ('047084094', 17), ('047030601', 16), ('047017555', 15)]",True,2,1,111
"high_1","['nina', 'pippa', 'moyo', '0.186046512', 'maxine', 'mary', 'mike', 'max', 'longjohn', 'tess', 'maggie', 'littlejenkins', 'littlejudy', 'doug', 'donna', 'darwin', 'littlejane', 'david', 'ingrid', 'pal', 'gonzaga', '0.28125', 'ilse', 'girly', 'goliath', 'irene', 'brenda', 'genny', 'brandon', 'gerard', 'booboo']","[('0.1', 26), ('0.0', 24), ('darwin', 24), ('debbie', 24), ('david', 23)]",True,4,1,216
"high_2",['053780117'],"[('053581790', 40), ('053637288', 28), ('052630522', 28), ('053303038', 27), ('053521794', 27)]",True,4,1,217
"high_3","['052885381', '053515834', '053081122', '052638123', '052780774']","[('052862278', 29), ('053614545', 24), ('053072538', 24), ('052620092', 22), ('052840537', 21)]",True,4,2,198
"high_4","['061815050', '052891623', '062302547', '053083282', '053630859', '053620036', '062868858', '062083003', '052859834', '062345345', '052840537', '062523624', '062094572', '062112260', '062788337']","[('061892622', 24), ('062378849', 20), ('052859834', 19), ('052891623', 17), ('053614545', 16)]",True,4,1,226
"high_5","['062274101', '053770530', '055537127', '062359065']","[('062360296', 28), ('062352556', 27), ('053104311', 27), ('052864516', 26), ('062104865', 24)]",True,4,2,232
"high_6","['062283316', '053516324']","[('062782572', 26), ('052540050', 26), ('062364107', 21), ('062576889', 21), ('052604777', 21)]",True,4,1,191

